Printing configs: 
train_dir: /home/xzcaplcu/repo/qtrkx-gnn-tracking/data_personal/train_graphs
valid_dir: /home/xzcaplcu/repo/qtrkx-gnn-tracking/data_personal/valid_graphs
dataset: TuysuzPaper
log_dir: /home/xzcaplcu/repo/qtrkx-gnn-tracking/logs/test_QGNN/run thesis2/
run_type: new_run
gpu: -1
n_files: 100
n_valid: 20
n_train: 80
batch_size: 1
lr_c: 0.01
n_iters: 3
n_epoch: 20
TEST_every: 50
hid_dim: 4
network: QGNN
optimizer: Adam
loss_func: BinaryCrossentropy
n_thread: 4
log_verbosity: 2
EN_qc: {'PQC_id': '10', 'IEC_id': 'simple_encoding_y', 'MC_id': 'measure_all', 'n_layers': 3, 'repetitions': 0, 'n_qubits': 4}
NN_qc: {'PQC_id': '10', 'IEC_id': 'simple_encoding_y', 'MC_id': 'measure_all', 'n_layers': 3, 'repetitions': 0, 'n_qubits': 4}
Log dir: /home/xzcaplcu/repo/qtrkx-gnn-tracking/logs/test_QGNN/run thesis2/
Training data input dir: /home/xzcaplcu/repo/qtrkx-gnn-tracking/data_personal/train_graphs
Validation data input dir: /home/xzcaplcu/repo/qtrkx-gnn-tracking/data_personal/train_graphs
Model: "GNN"
_________________________________________________________________
Layer (type)                 Output Shape              Param #   
=================================================================
InputNet (Dense)             multiple                  16        
_________________________________________________________________
EdgeNet (EdgeNet)            multiple                  81        
_________________________________________________________________
NodeNet (NodeNet)            multiple                  124       
=================================================================
Total params: 221
Trainable params: 221
Non-trainable params: 0
_________________________________________________________________
None
2023-03-31 12:29:46.679861 Starting testing the valid set with 20 subgraphs!
2023-03-31 12:34:41.081393: validation Test:  Loss: 0.7098,  AUC: 0.5223, Acc: 50.6669,  Precision: 0.5185 -- Elapsed: 4m54s
2023-03-31 12:34:41.082504 Starting testing the train set with 20 subgraphs!
2023-03-31 12:54:06.123063: training Test:  Loss: 0.7239,  AUC: 0.5231, Acc: 50.8225,  Precision: 0.5310 -- Elapsed: 19m24s
2023-03-31 12:54:06.125825: Training is starting!
2023-03-31 12:54:34.287571: Epoch: 1, Batch: 1, Loss: 0.6804, Elapsed: 0m28s
2023-03-31 12:54:59.269774: Epoch: 1, Batch: 2, Loss: 0.6815, Elapsed: 0m24s
2023-03-31 12:55:31.761536: Epoch: 1, Batch: 3, Loss: 0.7657, Elapsed: 0m32s
2023-03-31 12:55:59.220221: Epoch: 1, Batch: 4, Loss: 0.7007, Elapsed: 0m27s
2023-03-31 12:56:24.764587: Epoch: 1, Batch: 5, Loss: 0.6967, Elapsed: 0m25s
2023-03-31 12:56:50.854286: Epoch: 1, Batch: 6, Loss: 0.7279, Elapsed: 0m26s
2023-03-31 12:57:10.713545: Epoch: 1, Batch: 7, Loss: 0.7145, Elapsed: 0m19s
2023-03-31 12:57:39.900815: Epoch: 1, Batch: 8, Loss: 0.6869, Elapsed: 0m29s
2023-03-31 12:58:19.767799: Epoch: 1, Batch: 9, Loss: 0.7581, Elapsed: 0m39s
2023-03-31 12:58:41.285202: Epoch: 1, Batch: 10, Loss: 0.7106, Elapsed: 0m21s
2023-03-31 12:59:10.535811: Epoch: 1, Batch: 11, Loss: 0.7238, Elapsed: 0m29s
2023-03-31 12:59:36.428735: Epoch: 1, Batch: 12, Loss: 0.7158, Elapsed: 0m25s
2023-03-31 13:00:17.182544: Epoch: 1, Batch: 13, Loss: 0.7144, Elapsed: 0m40s
2023-03-31 13:00:38.626223: Epoch: 1, Batch: 14, Loss: 0.7847, Elapsed: 0m21s
